categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpe Sportive,44.0,donna,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - soothing sea/oasis green,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-da-corsa-su-strada-soothing-seaoasis-green-as141a197-k13.html?size=44,GEL contend 9,scarpe da corsa su strada, soothing sea/oasis green
Scarpe Sportive,44.0,donna,PUMA,ALL-PRO NITRO BASKETBALL - Scarpe da basket - white for all time red,104.0,130.0,https://www.zalando.it/puma-scarpe-da-basket-white-for-all-time-red-pu144a0d3-a11.html?size=44,ALL pro nitro basketball,scarpe da basket, white for all time red
Scarpe Sportive,44.0,donna,MIZUNO,WAVE LIGHTNING Z8 - Scarpe da pallavolo - white/bellwether blue/bel air blue,143.99,159.99,https://www.zalando.it/mizuno-wave-lightning-z8-scarpe-da-pallavolo-whitebellwether-bluebel-air-blue-m2742a0lf-a11.html?size=44,WAVE LIGHTNING Z8,scarpe da pallavolo,white/bellwether blue/bel air blue
Scarpe Sportive,44.0,donna,PUMA,COURT PRO MARBLE UNISEX - Scarpe da basket - cool mid gray/black,48.99,74.99,https://www.zalando.it/puma-court-pro-marble-scarpe-da-basket-cool-mid-grayblack-pu142a1xi-q11.html?size=44,COURT PRO MARBLE UNISEX,scarpe da basket,cool mid gray/black
Scarpe Sportive,44.0,donna,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - galactic gray/black/green glare,43.95,80.0,https://www.zalando.it/puma-pwr-hybrid-unisex-scarpe-da-allenamento-galactic-grayblackgreen-glare-pu144a0cq-c11.html?size=44,PWR HYBRID TR UNISEX,scarpe da allenamento,galactic gray/black/green glare
Scarpe Sportive,44.0,donna,MIZUNO,WAVE LUMINOUS 3 - Scarpe da pallavolo - mint/black/blue,134.99,149.99,https://www.zalando.it/mizuno-wave-luminous-3-scarpe-da-pallavolo-mintblackblue-m2744a00p-m11.html?size=44,WAVE LUMINOUS 3,scarpe da pallavolo,mint/black/blue
Scarpe Sportive,44.0,donna,NEW BALANCE,FURON PRO FG V8 - Scarpe da calcetto con tacchetti - white red,150.0,150.0,https://www.zalando.it/new-balance-furon-pro-scarpe-da-calcetto-con-tacchetti-white-red-ne244a01f-a11.html?size=44,FURON PRO FG V8,scarpe da calcetto con tacchetti,white red
Scarpe Sportive,44.0,donna,PUMA,FUTURE 7 PRO - Scarpe da calcetto con tacchetti - gray skies white fizzy apple,134.95,134.95,https://www.zalando.it/puma-future-fussball-scarpe-da-calcetto-con-tacchetti-gray-skies-white-fizzy-apple-pu144a0d2-c11.html?size=44,FUTURE 7 PRO,scarpe da calcetto con tacchetti,gray skies white fizzy apple
Scarpe Sportive,44.0,donna,PUMA,CAVEN 2.0 UNISEX - Scarpe da basket - white/peaceful blue/cool light gray,57.99,64.99,https://www.zalando.it/puma-caven-20-unisex-sneakers-basse-whitepeaceful-bluecool-light-gray-pu115o0nn-a25.html?size=44,CAVEN 2.0 UNISEX,scarpe da basket,white/peaceful blue/cool light gray
Scarpe Sportive,44.0,donna,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - black/graphite grey,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-running-neutre-blackgraphite-grey-as141a197-q11.html?size=44,GEL contend 9,scarpe da corsa su strada, black/graphite grey
Scarpe Sportive,44.0,donna,PUMA,DARTER PRO - Scarpe da corsa su strada - black yellow alert white,63.95,80.0,https://www.zalando.it/puma-sneakers-basse-black-yellow-alert-white-zzo32y902-e00.html?size=44,DARTER PRO,scarpe da corsa su strada,black yellow alert white
Scarpe Sportive,44.0,donna,ASICS,GEL-EXCITE 10 - Scarpe da corsa su strada - midnight coral reef,81.0,90.0,https://www.zalando.it/asics-gel-excite-10-scarpe-da-corsa-su-strada-midnight-coral-reef-as141a171-k11.html?size=44,GEL excite 10,scarpe da corsa su strada, midnight coral reef
Scarpe Sportive,44.0,donna,ASICS,GEL-PULSE 16 - Scarpe da corsa su strada - black breeze,109.95,109.95,https://www.zalando.it/asics-sneakers-basse-black-breeze-as111a034-q11.html?size=44,GEL pulse 16,scarpe da corsa su strada, black breeze
Scarpe Sportive,44.0,donna,PUMA GOLF,GS-X EFEKT  - Scarpe da golf - white/inky blue,129.99,129.99,https://www.zalando.it/puma-golf-scarpe-da-golf-whiteinky-blue-pu541a01i-a11.html?size=44,GS x efekt,scarpe da golf, white/inky blue
Scarpe Sportive,44.0,donna,MIZUNO,WAVE LIGHTNING Z8 UNISEX - Scarpe da pallavolo - neo mint/black/frontier blue,143.99,159.99,https://www.zalando.it/mizuno-wave-lightning-z8-unisex-scarpe-da-pallavolo-neo-mintblackfrontier-blue-m2744a00o-m11.html?size=44,WAVE LIGHTNING Z8 UNISEX,scarpe da pallavolo,neo mint/black/frontier blue
Scarpe Sportive,44.0,donna,MIZUNO,WAVE STEALTH 6 UNISEX - Scarpe da pallamano - neo mint/black/frontier blue,125.99,139.99,https://www.zalando.it/mizuno-sneakers-basse-neo-mintblackfrontier-blue-m2744a00u-m11.html?size=44,WAVE STEALTH 6 UNISEX,scarpe da pallamano,neo mint/black/frontier blue
Scarpe Sportive,44.0,donna,UNDER ARMOUR,SLIPSPEED MEGA FADE - Scarpe da corsa su strada - black,150.0,150.0,https://www.zalando.it/under-armour-technical-performa-slipspeed-mega-fade-scarpe-da-allenamento-black-un215p004-q11.html?size=44,SLIPSPEED MEGA FADE,scarpe da corsa su strada,black
Scarpe Sportive,44.0,donna,ASICS,PATRIOT 13 - Scarpe da corsa su strada - midnight/light ube,64.99,64.99,https://www.zalando.it/asics-patriot-13-scarpe-da-corsa-su-strada-midnightlight-ube-as141a0w9-k16.html?size=44,PATRIOT 13,scarpe da corsa su strada,midnight/light ube
Scarpe Sportive,44.0,donna,NEW BALANCE,FUELCELL PROPEL V5 - Sneakers basse - black,129.99,129.99,https://www.zalando.it/new-balance-fuelcell-propel-v5-scarpe-running-neutre-black-ne241a0ew-q13.html?size=44,FUELCELL PROPEL V5,sneakers basse,black
Scarpe Sportive,44.0,donna,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - indigo fog/light ube,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-da-corsa-su-strada-indigo-foglight-ube-as141a197-k12.html?size=44,GEL contend 9,scarpe da corsa su strada, indigo fog/light ube
Scarpe Sportive,44.0,donna,ASICS,GEL-CONTEND 9 - Scarpe da corsa su strada - black/white,69.99,69.99,https://www.zalando.it/asics-gel-contend-9-scarpe-running-neutre-blackwhite-as141a197-q12.html?size=44,GEL contend 9,scarpe da corsa su strada, black/white
Scarpe Sportive,44.0,donna,PUMA,SOFTRIDE ENZO 5  - Scarpe da allenamento - black white,44.95,75.0,https://www.zalando.it/puma-softride-enzo-5-scarpe-da-allenamento-black-white-pu144a0cn-q12.html?size=44,SOFTRIDE ENZO 5,scarpe da allenamento,black white
